AccX,AccY,AccZ,VelX,VelY,VelZ,PosX,PosY,PosZ,QuatW,QuatI,QuatJ,QuatK
-0.12750470899478,-0.243995797374729,-0.103313648576283,0.00537844856051688,0.00590973201338916,-0.0277850049388299,0,0,0,0.480070826852609,-0.494134421040472,-0.602339182108276,-0.403175749326747
-0.10415086066489,-0.181736858227639,-0.0987407826326256,0.00421320919172914,0.00377282280482211,-0.0287637114467755,4.79582887612301e-05,4.84127740910563e-05,-0.000282743581928027,0.479906161741914,-0.494221532996955,-0.602001844871956,-0.403768412601884
-0.0833379196405793,-0.124463063428568,-0.104256012719778,0.00326880376971239,0.00223357726598586,-0.0297471297754387,8.53683535684377e-05,7.84447744450961e-05,-0.000575297788039098,0.479782954605366,-0.494278973755088,-0.601623583508052,-0.404407809445728
-0.0668216540253636,-0.0739749886548975,-0.124179910558789,0.00251104438089329,0.00123314107501333,-0.0308577437437326,0.000114267594321466,9.57783661500921e-05,-0.000878322155634955,0.479706589137998,-0.494304160911001,-0.601188385640535,-0.405114193548667
-0.0579997592986741,-0.0323007422356923,-0.16154798311222,0.0018799757937837,0.000693516490005173,-0.0322548175639888,0.000136222695194851,0.000105411653975185,-0.00119388496217356,0.479683869335423,-0.494293292042856,-0.600679370085033,-0.405908636635242
-0.0613993486023372,-0.0015787194545348,-0.217256223762578,0.00127601873378925,0.000515873250998829,-0.0341172729502639,0.000152002667832716,0.000111458602680205,-0.00152574541474483,0.479723153063665,-0.494240752090249,-0.600083550555079,-0.406806474556553
-0.0814154536114436,0.0161941982161179,-0.289563296267937,0.000554983202230955,0.000580704714251537,-0.0366198049023176,0.000161157677512817,0.000116941492506456,-0.00187943080400773,0.47983290272645,-0.494139651347741,-0.599396062299368,-0.40781215151961
-0.121075506363234,0.0195175724579194,-0.374249552050312,-0.000464433118131828,0.000751017637066516,-0.03990730349581,0.000161610427933313,0.000123600104263047,-0.00226206634599837,0.48001931137182,-0.493983819191571,-0.598622472791755,-0.408916351049596
-0.180706872539273,0.00820193024403008,-0.464783902717238,-0.00198030653313376,0.000881369220021056,-0.0440709051215488,0.000149386729676985,0.000131762038548485,-0.00268195738908517,0.480284280778318,-0.493770137008472,-0.597779313568595,-0.410095054475603
-0.256403245050052,-0.0156780231552614,-0.552721441625602,-0.00417281864156978,0.000835742824909691,-0.0491268661951642,0.000118621103803467,0.000140347598773138,-0.00314794624566873,0.480625021894235,-0.49349955130801,-0.596893222825481,-0.411310420160941
-0.339641429068607,-0.0476336560340311,-0.628807140573593,-0.00716000353265246,0.000510938498408022,-0.0550029434580613,6.19569929323557e-05,0.000147081005389727,-0.00366859529393486,0.481035489175209,-0.493176187742987,-0.595998382814142,-0.412514283001437
-0.418884922203765,-0.081779125935021,-0.683939261169286,-0.0109595968095037,-0.000144371341992446,-0.0615351098186768,-2.86410087784251e-05,0.000148913841171805,-0.00425128556031855,0.481508450606181,-0.492805579301989,-0.595132103881455,-0.413654507933007
-0.482196947217253,-0.112149453811918,-0.709794486419161,-0.0154719676770982,-0.00112226017128235,-0.0684722129085201,-0.000160798831211435,0.000142580683605431,-0.00490132217395453,0.482036840927607,-0.49239335516617,-0.594329327877808,-0.414682912357198
-0.519850078209092,-0.133541550015818,-0.700342248367297,-0.0204891643247193,-0.00235896112097624,-0.0754913309343536,-0.000340604491220522,0.000125174577144138,-0.0056211398931689,0.482614017102138,-0.491944856576675,-0.593617354376906,-0.415562757194211
-0.526486198847992,-0.142167794341243,-0.654009002289767,-0.0257278072304941,-0.00374575377331675,-0.08223152153954,-0.000571689348996589,9.46510026726729e-05,-0.00640975415553837,0.483233322018836,-0.49146529080974,-0.593012101321841,-0.41627403486861
-0.502124044174725,-0.136334198961041,-0.574454874314737,-0.0308778199660971,-0.00514650967038337,-0.0883422752744636,-0.000854717484979545,5.01896854541723e-05,-0.00726262313960838,0.483887454733089,-0.490960086364398,-0.59251648698062,-0.416815711562244
-0.451569387519284,-0.116972536466298,-0.469204179847485,-0.0356532486450565,-0.00642128927807528,-0.0935290048971759,-0.00118737282803531,-7.64930928812096e-06,-0.00817197954046658,0.484567931550831,-0.49043565068318,-0.592120429312398,-0.417205212626133
-0.382746934834028,-0.0879656306128923,-0.347374873327629,-0.0398317917773125,-0.00745422604402643,-0.0975803345149526,-0.00156479803014716,-7.70268858986295e-05,-0.00912752623752722,0.485264888349642,-0.489900417912255,-0.591802029487537,-0.417475659839995
-0.304638743008535,-0.0558208414940374,-0.217585473338886,-0.0432756816870147,-0.00818140433511629,-0.100373570600186,-0.00198033539746879,-0.000155205037794343,-0.0101172957631029,0.485967636125031,-0.489365135038893,-0.591530442832296,-0.417670870961865
-0.225154742548218,-0.0279900825545031,-0.0863595595251392,-0.0459316106352879,-0.0086087048859142,-0.101861730116408,-0.00242637185908031,-0.000239155583899496,-0.0111284722666859,0.486666294247845,-0.488841475969188,-0.591270603447094,-0.417838489029727
-0.149628858795602,-0.0103252622712321,0.0419983764266673,-0.0478124901624964,-0.00880852754059808,-0.102051970383801,-0.00289509236306923,-0.000326241746032057,-0.0121480407691869,0.487353946128464,-0.488339606428767,-0.590988519421722,-0.41802288202649
-0.080742895185024,-0.0054649106268792,0.163603071658312,-0.0489713104528889,-0.00889572433564385,-0.100992397495277,-0.00337901136614615,-0.000414763005413267,-0.0131632626085823,0.488028043730222,-0.487866214110171,-0.590655689243437,-0.418259539552923
-0.0195471183572494,-0.0127836381583279,0.273680141194583,-0.0494797220410896,-0.00899521301012509,-0.0987744157829138,-0.00387126652861605,-0.000504217692142111,-0.0141620966749733,0.488690628932864,-0.487423483796356,-0.590252251936924,-0.418571494156513
0.0335320833645893,-0.0287434842190191,0.367823216630199,-0.0494167587365423,-0.00921109455256704,-0.0955353333456911,-0.00436574893250421,-0.000595249229955572,-0.0151336454206163,0.489347713606621,-0.48700880287001,-0.589768523724136,-0.418968172465815
0.0782565515154645,-0.0474320999513959,0.443833378101438,-0.0488647770826315,-0.00960021840397432,-0.091445484723934,-0.00485715661160008,-0.000689305794738279,-0.0160685495109644,0.49000769750218,-0.486615646601666,-0.589204098561801,-0.419447492672242
0.114485030320308,-0.0621325964594504,0.501893593340219,-0.047908030693942,-0.0101562878165838,-0.0866852842186268,-0.00534102065048294,-0.000788088325841069,-0.0169592033556772,0.490678977005985,-0.486235665343596,-0.588564661499685,-0.420000783934973
0.142167355735012,-0.0675253063613625,0.543777217159527,-0.0466317302841548,-0.010812823261243,-0.0814253645180292,-0.00581371945537343,-0.000892933881230203,-0.0177997565993605,0.491367844763553,-0.485860845735155,-0.587858016566675,-0.420618392455959
0.161434919516093,-0.0613694335810195,0.571884070271423,-0.0451206804283887,-0.0114655428915101,-0.0758154924327756,-0.00627248150893614,-0.00100432571199397,-0.0185859608841145,0.492077697728071,-0.485484757120314,-0.587090811072334,-0.421293804318198
